_id,title,title_untranslated,description,release_date,language,post_image_url,backdrop_image_url,average_rating,tagline,minutes,budget,revenue,genre
4771,Gone Baby Gone,Gone Baby Gone,"When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt, Beatrice McCready hires two private detectives, Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons - they're not cops and they know the tough neighborhood in which they all live. As the case progresses, Kenzie and Gennaro face drug dealers, gangs and pedophiles. When they are about to solve the case, they are faced with a moral dilemma that tears them apart.",2007-06-06,en,https://www.themoviedb.org/t/p/w300/uIo4a0fCUFth4yVG3QToquAxuRG.jpg,https://www.themoviedb.org/t/p/w300/xcDiiWTFJ6T3D3qayL1DdlDeQz8.jpg,7.3,Everyone wants the truth... until they find it.,113,19000000,34619699,Crime
57212,War Horse,War Horse,"Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend.",2011-12-25,en,https://www.themoviedb.org/t/p/w300/7KHz6JlJhrFAPesmUkgdnLrSr8Y.jpg,https://www.themoviedb.org/t/p/w300/64YOcrslrijllDRCpQvXkSKvXQV.jpg,7.3,Separated by War. Tested by Battle. Bound by Friendship.,146,66000000,177584879,Action
1640,Crash,Crash,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of a Brentwood housewife, her district attorney husband, a Persian shopkeeper, two cops, a pair of carjackers and a Korean couple converge during a 36-hour period.",2005-05-06,en,https://www.themoviedb.org/t/p/w300/86BdPC6RDX88NC880pLidKn2LCj.jpg,https://www.themoviedb.org/t/p/w300/pu5yRPsqVZcXbBGpQln2SVdtDWm.jpg,7.3,You think you know who you are. You have no idea.,112,6500000,98410061,Drama
37094,Falling Down,Falling Down,"On the day of his daughter's birthday, William ""D-Fens"" Foster is trying to get to the home of his estranged ex-wife to see his daughter. His car breaks down, so he leaves his car in a traffic jam in Los Angeles and decides to walk. He goes to a convenience store and tries to get some change for a phone call, but the Korean owner does not oblige, tipping Foster over the edge. The unstable Foster, so frustrated with the various flaws he sees in society, begins to psychotically and violently lash out against them.",1993-02-26,en,https://www.themoviedb.org/t/p/w300/7ujqyF96Zg3rfrsh9M0cEF0Yzqj.jpg,https://www.themoviedb.org/t/p/w300/cS45swrlrTJijH1RblBLe8LlW2p.jpg,7.3,A Tale Of Urban Reality.,113,25000000,40903593,Crime
764,The Evil Dead,The Evil Dead,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.",1981-09-10,en,https://www.themoviedb.org/t/p/w300/uYxQ6xhP3WjqPZtxyAOnZQWnZqn.jpg,https://www.themoviedb.org/t/p/w300/wDnVnnCiavROZ2YeVqSPwFw5jec.jpg,7.3,The Ultimate Experience In Grueling Terror,85,350000,29400000,Horror
167073,Brooklyn,Brooklyn,"In 1950s Ireland and New York, young Eilis Lacey has to choose between two men and two countries.",2015-10-20,en,https://www.themoviedb.org/t/p/w300/5iMZlbhF6SLc5NOsHv82PFSIuoY.jpg,https://www.themoviedb.org/t/p/w300/3Wx2mXuVllhICbbDTMpHdNr5ZFg.jpg,7.3,"Two countries, two loves, one heart",111,11000000,62076141,Drama
658,Goldfinger,Goldfinger,"Special agent 007 comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.",1964-09-20,en,https://www.themoviedb.org/t/p/w300/hsHVGBINg9bactVjE91wFBgd51J.jpg,https://www.themoviedb.org/t/p/w300/lh65Y0sUQcRh5UVVgnTOfMUbN2c.jpg,7.3,Everything he touches turns into excitement!,110,2500000,124881062,Action
10312,Patch Adams,Patch Adams,"The true story of Dr. Hunter ""Patch"" Adams, who in the 1970s found that humor is the best medicine, and was willing to do just anything to make his patients laugh—even if it meant risking his own career.",1998-12-25,en,https://www.themoviedb.org/t/p/w300/xN1aKur5ddWQSXTqvzDPJD2TCxe.jpg,https://www.themoviedb.org/t/p/w300/w5KgTa5LEokp1ki1zq4pyS3fkYy.jpg,7.3,Laughter is contagious.,115,50000000,202292902,Comedy
3176,Battle Royale,バトル・ロワイアル,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",2000-12-16,ja,https://www.themoviedb.org/t/p/w300/gFX7NuBUeKysOB9nEzRqVpHNT32.jpg,https://www.themoviedb.org/t/p/w300/amBvmIshdsSkOtvVIgxl7YSQ9Dg.jpg,7.3,Could you kill your best friend?,123,4500000,25000000,Action
77016,End of Watch,End of Watch,Two young officers are marked for death after confiscating a small cache of money and firearms from the members of a notorious cartel during a routine traffic stop.,2012-09-20,en,https://www.themoviedb.org/t/p/w300/pDeVKQICkcdwwjHxGj0MeS14YJ6.jpg,https://www.themoviedb.org/t/p/w300/gJJ8MagD7XAfwro3yO08DzY1f1L.jpg,7.3,Every moment of your life they stand watch,109,7000000,48126384,Crime
